site,ssp,period,variable,ens_mean
Gwangyang_Plant,ssp245,far,etccdi_tnn,12.48
Gwangyang_Plant,ssp245,far,etccdi_tr,129.3
Gwangyang_Plant,ssp245,far,etccdi_txx,20.92
Gwangyang_Plant,ssp245,far,etccdi_wbgt,16.16
Gwangyang_Plant,ssp245,far,etccdi_wsdi,72.9
Gwangyang_Plant,ssp245,mid,etccdi_cdd,22.5
Gwangyang_Plant,ssp245,mid,etccdi_cwd,6.6
Gwangyang_Plant,ssp245,mid,etccdi_fd,0.0
Gwangyang_Plant,ssp245,mid,etccdi_r95p,562.31
Gwangyang_Plant,ssp245,mid,etccdi_rx1day,57.02
Gwangyang_Plant,ssp245,mid,etccdi_rx5day,89.59
Gwangyang_Plant,ssp245,mid,etccdi_sdii,17.53
Gwangyang_Plant,ssp245,mid,etccdi_su,4.5
Gwangyang_Plant,ssp245,mid,etccdi_tnn,12.04
Gwangyang_Plant,ssp245,mid,etccdi_tr,108.3
Gwangyang_Plant,ssp245,mid,etccdi_txx,20.35
Gwangyang_Plant,ssp245,mid,etccdi_wbgt,15.55
Gwangyang_Plant,ssp245,mid,etccdi_wsdi,57.6
Gwangyang_Plant,ssp245,near,etccdi_cdd,27.2
Gwangyang_Plant,ssp245,near,etccdi_cwd,6.6
Gwangyang_Plant,ssp245,near,etccdi_fd,0.2
Gwangyang_Plant,ssp245,near,etccdi_r95p,502.68
Gwangyang_Plant,ssp245,near,etccdi_rx1day,50.95
Gwangyang_Plant,ssp245,near,etccdi_rx5day,84.71
Gwangyang_Plant,ssp245,near,etccdi_sdii,15.51
Gwangyang_Plant,ssp245,near,etccdi_su,0.1
Gwangyang_Plant,ssp245,near,etccdi_tnn,10.62
Gwangyang_Plant,ssp245,near,etccdi_tr,78.6
Gwangyang_Plant,ssp245,near,etccdi_txx,19.25
Gwangyang_Plant,ssp245,near,etccdi_wbgt,14.34
Gwangyang_Plant,ssp245,near,etccdi_wsdi,15.6
Gwangyang_Plant,ssp370,baseline,etccdi_cdd,29.0
Gwangyang_Plant,ssp370,baseline,etccdi_cwd,7.5
Gwangyang_Plant,ssp370,baseline,etccdi_fd,0.5
Gwangyang_Plant,ssp370,baseline,etccdi_r95p,451.8
Gwangyang_Plant,ssp370,baseline,etccdi_rx1day,52.51
Gwangyang_Plant,ssp370,baseline,etccdi_rx5day,81.6
Gwangyang_Plant,ssp370,baseline,etccdi_sdii,16.73
Gwangyang_Plant,ssp370,baseline,etccdi_su,0.0
Gwangyang_Plant,ssp370,baseline,etccdi_tnn,10.03
Gwangyang_Plant,ssp370,baseline,etccdi_tr,66.4
Gwangyang_Plant,ssp370,baseline,etccdi_txx,18.63
Gwangyang_Plant,ssp370,baseline,etccdi_wbgt,13.88
Gwangyang_Plant,ssp370,baseline,etccdi_wsdi,9.3
Gwangyang_Plant,ssp370,end,etccdi_cdd,28.7
Gwangyang_Plant,ssp370,end,etccdi_cwd,7.2
Gwangyang_Plant,ssp370,end,etccdi_fd,0.0
Gwangyang_Plant,ssp370,end,etccdi_r95p,823.1
Gwangyang_Plant,ssp370,end,etccdi_rx1day,64.22
Gwangyang_Plant,ssp370,end,etccdi_rx5day,106.92
Gwangyang_Plant,ssp370,end,etccdi_sdii,21.29
Gwangyang_Plant,ssp370,end,etccdi_su,56.5
Gwangyang_Plant,ssp370,end,etccdi_tnn,14.15
Gwangyang_Plant,ssp370,end,etccdi_tr,154.1
Gwangyang_Plant,ssp370,end,etccdi_txx,22.2
Gwangyang_Plant,ssp370,end,etccdi_wbgt,17.55
Gwangyang_Plant,ssp370,end,etccdi_wsdi,107.2
Gwangyang_Plant,ssp370,far,etccdi_cdd,25.0
Gwangyang_Plant,ssp370,far,etccdi_cwd,8.5
Gwangyang_Plant,ssp370,far,etccdi_fd,0.0
Gwangyang_Plant,ssp370,far,etccdi_r95p,809.11
Gwangyang_Plant,ssp370,far,etccdi_rx1day,65.21
Gwangyang_Plant,ssp370,far,etccdi_rx5day,107.98
Gwangyang_Plant,ssp370,far,etccdi_sdii,20.36
Gwangyang_Plant,ssp370,far,etccdi_su,39.3
Gwangyang_Plant,ssp370,far,etccdi_tnn,13.66
Gwangyang_Plant,ssp370,far,etccdi_tr,141.3
