site,country,ssp,variable,period,ens_mean,ens_median,ens_p10,ens_p90,lat,lon
MaSteel_OCI,CHN,ssp126,tas,baseline,15.6043,15.4413,14.3299,16.9805,31.6839,118.5127
MaSteel_OCI,CHN,ssp126,tasmax,baseline,32.9265,32.0267,29.9019,36.2018,31.6839,118.5127
MaSteel_OCI,CHN,ssp126,tasmin,baseline,11.3227,10.8932,10.0479,13.0079,31.6839,118.5127
MaSteel_OCI,CHN,ssp245,evspsbl,baseline,34.519,34.519,34.519,34.519,31.6839,118.5127
MaSteel_OCI,CHN,ssp245,pr,baseline,44.5961,45.992,34.9033,53.3666,31.6839,118.5127
MaSteel_OCI,CHN,ssp245,prsn,baseline,0.826,0.826,0.826,0.826,31.6839,118.5127
MaSteel_OCI,CHN,ssp245,sfcWind,baseline,2.6117,2.6117,2.6117,2.6117,31.6839,118.5127
MaSteel_OCI,CHN,ssp245,tas,baseline,15.5671,15.3562,14.2678,17.2031,31.6839,118.5127
MaSteel_OCI,CHN,ssp245,tasmax,baseline,32.7784,31.8309,29.5099,36.1581,31.6839,118.5127
MaSteel_OCI,CHN,ssp245,tasmin,baseline,11.3289,10.9736,9.872,13.1235,31.6839,118.5127
MaSteel_OCI,CHN,ssp370,evspsbl,baseline,33.8254,33.8254,33.8254,33.8254,31.6839,118.5127
MaSteel_OCI,CHN,ssp370,pr,baseline,41.5802,42.3212,33.3239,50.2405,31.6839,118.5127
MaSteel_OCI,CHN,ssp370,prsn,baseline,0.9511,0.9511,0.9511,0.9511,31.6839,118.5127
MaSteel_OCI,CHN,ssp370,sfcWind,baseline,2.5723,2.5723,2.5723,2.5723,31.6839,118.5127
MaSteel_OCI,CHN,ssp370,tas,baseline,15.4045,15.0702,14.0549,17.1081,31.6839,118.5127
MaSteel_OCI,CHN,ssp370,tasmax,baseline,32.8852,32.7234,30.0378,35.3931,31.6839,118.5127
MaSteel_OCI,CHN,ssp370,tasmin,baseline,10.8057,10.565,9.7578,12.9239,31.6839,118.5127
MaSteel_OCI,CHN,ssp585,evspsbl,baseline,34.5749,34.5749,34.5749,34.5749,31.6839,118.5127
MaSteel_OCI,CHN,ssp585,pr,baseline,44.7742,46.1135,33.3843,53.5029,31.6839,118.5127
MaSteel_OCI,CHN,ssp585,prsn,baseline,0.3501,0.3501,0.3501,0.3501,31.6839,118.5127
MaSteel_OCI,CHN,ssp585,sfcWind,baseline,2.5776,2.5776,2.5776,2.5776,31.6839,118.5127
MaSteel_OCI,CHN,ssp585,tas,baseline,15.5649,15.4477,14.1775,17.3582,31.6839,118.5127
MaSteel_OCI,CHN,ssp585,tasmax,baseline,32.8225,32.4547,29.9886,35.879,31.6839,118.5127
MaSteel_OCI,CHN,ssp585,tasmin,baseline,11.3566,11.0067,9.7615,13.2216,31.6839,118.5127
OCI_Dream_Seoul,KOR,ssp126,evspsbl,baseline,27.7291,27.7291,27.7291,27.7291,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp126,pr,baseline,39.5895,39.7136,35.0547,46.4427,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp126,prsn,baseline,0.9351,0.9351,0.9351,0.9351,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp126,sfcWind,baseline,2.532,2.532,2.532,2.532,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp126,tas,baseline,10.7107,10.806,9.447,11.8673,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp126,tasmax,baseline,28.1008,27.5056,25.6634,30.9916,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp126,tasmin,baseline,6.7893,7.2924,5.313,8.4702,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp245,evspsbl,baseline,27.1596,27.1596,27.1596,27.1596,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp245,pr,baseline,38.4562,38.1328,34.0023,45.9077,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp245,prsn,baseline,0.9791,0.9791,0.9791,0.9791,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp245,sfcWind,baseline,2.544,2.544,2.544,2.544,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp245,tas,baseline,10.7517,10.6798,9.5061,12.0892,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp245,tasmax,baseline,28.1111,27.6745,25.6782,31.2761,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp245,tasmin,baseline,6.841,7.4713,5.308,8.4098,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp370,evspsbl,baseline,27.2163,27.2163,27.2163,27.2163,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp370,pr,baseline,37.1992,38.3221,32.7967,44.7452,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp370,prsn,baseline,0.6792,0.6792,0.6792,0.6792,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp370,sfcWind,baseline,2.4506,2.4506,2.4506,2.4506,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp370,tas,baseline,10.6334,10.5499,9.174,11.9342,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp370,tasmax,baseline,28.0629,27.4584,25.6339,31.3408,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp370,tasmin,baseline,6.45,7.3179,5.0407,8.3685,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp585,evspsbl,baseline,28.2354,28.2354,28.2354,28.2354,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp585,pr,baseline,38.4801,39.6368,30.0249,47.4838,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp585,prsn,baseline,0.7651,0.7651,0.7651,0.7651,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp585,sfcWind,baseline,2.5338,2.5338,2.5338,2.5338,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp585,tas,baseline,10.8932,10.9146,9.4381,12.1754,37.5172,126.9
