Site,Variable,Scenario,2030,2035,2040,2045
OCI Shanghai,Wind(m/s),SSP1-2.6,3.573,3.521,3.646,3.639
OCI Shanghai,Huss(g/kg),SSP1-2.6,10.522,10.823,10.541,10.938
OCI Shanghai,Rsds(W/m2),SSP1-2.6,165.77,164.339,166.188,170.755
OCI Shanghai,Tmean(C),SSP2-4.5,16.267,16.847,17.243,17.0
OCI Shanghai,Tmax(C),SSP2-4.5,18.251,18.882,19.327,19.058
OCI Shanghai,Tmin(C),SSP2-4.5,14.38,14.899,15.243,15.048
OCI Shanghai,Pr(mm/d),SSP2-4.5,5.192,4.9,4.813,5.006
OCI Shanghai,Wind(m/s),SSP2-4.5,3.544,3.567,3.548,3.461
OCI Shanghai,Huss(g/kg),SSP2-4.5,10.479,10.575,10.828,10.644
OCI Shanghai,Rsds(W/m2),SSP2-4.5,153.786,158.094,165.149,162.567
OCI Shanghai,Tmean(C),SSP3-7.0,16.352,17.015,16.973,16.927
OCI Shanghai,Tmax(C),SSP3-7.0,18.413,19.072,19.146,19.149
OCI Shanghai,Tmin(C),SSP3-7.0,14.4,15.062,14.957,14.855
OCI Shanghai,Pr(mm/d),SSP3-7.0,5.018,5.52,5.697,4.765
OCI Shanghai,Wind(m/s),SSP3-7.0,3.512,3.504,3.391,3.476
OCI Shanghai,Huss(g/kg),SSP3-7.0,10.314,10.879,10.796,10.737
OCI Shanghai,Rsds(W/m2),SSP3-7.0,150.137,149.959,150.985,155.545
OCI Shanghai,Tmean(C),SSP5-8.5,17.104,16.425,17.251,17.754
OCI Shanghai,Tmax(C),SSP5-8.5,19.226,18.523,19.38,19.826
OCI Shanghai,Tmin(C),SSP5-8.5,15.056,14.414,15.199,15.801
OCI Shanghai,Pr(mm/d),SSP5-8.5,4.542,4.289,4.852,5.072
OCI Shanghai,Wind(m/s),SSP5-8.5,3.627,3.577,3.501,3.486
OCI Shanghai,Huss(g/kg),SSP5-8.5,10.731,10.128,10.759,11.183
OCI Shanghai,Rsds(W/m2),SSP5-8.5,163.83,163.137,164.513,165.749
Shandong OCI (ZZ),Tmean(C),SSP1-2.6,15.595,16.241,15.195,16.32
Shandong OCI (ZZ),Tmax(C),SSP1-2.6,20.465,21.131,19.76,21.139
Shandong OCI (ZZ),Tmin(C),SSP1-2.6,11.046,11.632,10.865,11.753
Shandong OCI (ZZ),Pr(mm/d),SSP1-2.6,2.293,2.003,2.498,2.293
Shandong OCI (ZZ),Wind(m/s),SSP1-2.6,2.927,2.875,2.875,2.829
Shandong OCI (ZZ),Huss(g/kg),SSP1-2.6,7.54,7.615,7.798,7.853
Shandong OCI (ZZ),Rsds(W/m2),SSP1-2.6,190.302,190.355,189.344,195.71
Shandong OCI (ZZ),Tmean(C),SSP2-4.5,15.295,15.097,15.702,15.749
Shandong OCI (ZZ),Tmax(C),SSP2-4.5,20.025,19.524,20.48,20.321
Shandong OCI (ZZ),Tmin(C),SSP2-4.5,10.809,10.911,11.266,11.427
