Country,Site,Variable,Unit,Hazard_Key,SSP1-2.6_2020s,SSP1-2.6_2030s,SSP1-2.6_2040s,SSP1-2.6_2050s,SSP1-2.6_2060s,SSP1-2.6_2070s,SSP1-2.6_2080s,SSP1-2.6_2090s,SSP2-4.5_2020s,SSP2-4.5_2030s,SSP2-4.5_2040s,SSP2-4.5_2050s,SSP2-4.5_2060s,SSP2-4.5_2070s,SSP2-4.5_2080s,SSP2-4.5_2090s,SSP3-7.0_2020s,SSP3-7.0_2030s,SSP3-7.0_2040s,SSP3-7.0_2050s,SSP3-7.0_2060s,SSP3-7.0_2070s,SSP3-7.0_2080s,SSP3-7.0_2090s,SSP5-8.5_2020s,SSP5-8.5_2030s,SSP5-8.5_2040s,SSP5-8.5_2050s,SSP5-8.5_2060s,SSP5-8.5_2070s,SSP5-8.5_2080s,SSP5-8.5_2090s
Korea,Gunsan Plant,Near-Surface Air Temperature,degC,Mean Temp (Tas C),12.465,13.213,13.395,13.948,13.782,13.602,14.072,13.884,12.131,12.816,13.374,14.11,14.146,14.397,14.83,14.683,12.233,13.004,12.806,13.599,14.189,15.002,15.637,16.069,12.39,12.893,13.817,14.457,14.959,15.792,16.755,17.55
Korea,Gunsan Plant,Precipitation,mm/day,Heavy Rain (Pr mm/day),3.134,2.988,3.123,2.578,3.205,2.76,2.953,3.299,2.656,2.823,3.325,3.271,3.173,3.08,2.747,2.789,2.444,3.004,2.878,3.156,3.014,3.266,3.547,3.304,2.839,2.552,3.365,3.346,3.312,3.385,3.544,3.599
Korea,Gunsan Plant,Evapotranspiration,mm/day,Drought (Evap mm/day),2.458,2.569,2.652,2.651,2.671,2.639,2.665,2.709,2.446,2.46,2.517,2.646,2.632,2.634,2.694,2.708,2.345,2.405,2.409,2.427,2.512,2.568,2.625,2.704,2.445,2.48,2.556,2.678,2.686,2.795,2.855,2.926
Korea,Gunsan Plant,Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.029,0.021,0.022,0.021,0.016,0.019,0.019,0.019,0.027,0.019,0.015,0.015,0.017,0.012,0.01,0.012,0.03,0.015,0.02,0.017,0.013,0.008,0.004,0.008,0.033,0.02,0.012,0.014,0.015,0.005,0.004,0.003
Korea,Gunsan Plant,Near-Surface Wind Speed,m/s,Wind Speed (m/s),4.237,4.255,4.298,4.256,4.271,4.217,4.222,4.238,4.284,4.157,4.13,4.17,4.147,4.16,4.151,4.239,4.141,4.158,4.202,4.108,4.185,4.059,4.057,4.062,4.274,4.299,4.163,4.231,4.182,4.159,4.104,4.117
Korea,Gunsan Plant,Sea Surface Height Anomaly,cm,Sea Level (cm),34.831,36.339,34.633,32.658,33.894,35.038,34.093,33.876,35.177,35.088,35.591,35.362,34.006,31.621,31.741,30.386,35.789,37.38,36.44,35.45,34.061,34.455,36.947,37.752,34.61,35.229,34.933,35.317,33.283,36.089,36.184,37.323
Korea,Gunsan Plant,Total Runoff,mm/day,Runoff (mrro mm/day),0.63,0.502,0.561,0.217,0.613,0.337,0.418,0.679,0.308,0.407,0.765,0.687,0.64,0.529,0.332,0.268,0.216,0.481,0.499,0.714,0.569,0.779,0.982,0.783,0.459,0.233,0.873,0.72,0.788,0.781,0.927,0.919
Korea,Gunsan Plant,Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),25.834,24.402,25.153,22.611,24.694,23.074,24.181,24.922,24.458,24.812,26.243,25.622,25.19,24.681,23.683,23.299,24.09,26.24,25.777,25.837,25.217,25.11,26.649,25.792,25.045,23.332,24.579,26.129,25.079,25.374,25.574,25.855
Korea,Gunsan Plant,Near-Surface Specific Humidity,g/kg,Spec Humidity (g/kg),7.842,8.197,8.333,8.551,8.498,8.31,8.658,8.561,7.67,8.046,8.375,8.712,8.74,8.901,9.058,8.97,7.744,8.186,8.091,8.519,8.785,9.255,9.713,9.953,7.841,8.011,8.486,8.94,9.218,9.641,10.289,10.857
Korea,Gunsan Plant,Surface Downwelling SW Rad,W/m2,Solar Rad (rsds W/m2),176.433,181.812,184.269,186.247,184.806,186.754,185.469,186.836,176.505,176.035,178.193,181.424,183.692,182.108,187.462,185.613,172.86,171.814,169.645,172.127,175.302,178.006,176.041,178.202,174.795,179.1,180.758,180.208,183.381,184.496,186.419,187.384
