Country,Site,Scenario,Period,CDD (days),CWD (days),FD (days/yr),R95p (mm/yr),Rx1day (mm),Rx5day (mm),SDII (mm/wetday),SU (days/yr),TNn (degC),TR (days/yr),TXx (degC),WBGT (degC),WSDI (days/yr)
Japan,OCI Japan Tokyo,SSP2-4.5,2060s,20.1,12.1,0.5,598.52,49.62,83.98,14.21,84.9,8.61,78.2,23.3,15.92,29.3
Japan,OCI Japan Tokyo,SSP2-4.5,2070s,19.1,11.6,1.0,752.05,53.26,96.47,15.12,81.6,8.52,82.4,23.58,15.97,28.2
Japan,OCI Japan Tokyo,SSP2-4.5,2080s,21.5,9.5,0.2,651.91,56.13,93.29,14.49,88.8,9.01,85.8,23.97,16.39,32.9
Japan,OCI Japan Tokyo,SSP2-4.5,2090s,19.3,9.7,0.1,464.42,46.27,79.65,13.28,86.1,8.94,80.5,23.59,16.16,28.4
Japan,OCI Japan Tokyo,SSP5-8.5,2020s,19.3,9.5,9.9,503.96,45.28,74.96,13.07,65.0,6.7,61.5,21.64,14.25,8.8
Japan,OCI Japan Tokyo,SSP5-8.5,2030s,17.7,12.8,5.8,480.93,44.22,81.44,13.14,60.0,7.34,64.6,22.18,14.59,6.3
Japan,OCI Japan Tokyo,SSP5-8.5,2040s,22.0,9.7,2.1,505.25,46.36,82.52,13.88,76.5,7.99,72.4,23.05,15.42,14.0
Japan,OCI Japan Tokyo,SSP5-8.5,2050s,19.8,11.2,0.4,686.63,50.65,87.7,14.33,86.0,8.91,83.0,23.8,16.17,24.3
Japan,OCI Japan Tokyo,SSP5-8.5,2060s,19.1,10.2,0.2,600.68,49.53,85.33,14.14,96.1,9.28,91.8,24.17,16.68,37.4
Japan,OCI Japan Tokyo,SSP5-8.5,2070s,22.4,10.2,0.2,531.02,50.47,81.48,13.06,114.7,10.02,101.8,25.22,17.41,54.7
Japan,OCI Japan Tokyo,SSP5-8.5,2080s,23.6,10.7,0.0,652.47,52.4,88.99,14.56,125.5,11.03,114.3,26.28,18.32,66.5
Japan,OCI Japan Tokyo,SSP5-8.5,2090s,22.5,9.6,0.0,816.51,56.07,90.4,15.0,145.5,11.84,131.9,26.99,19.25,77.9
Korea,Gunsan Plant,SSP2-4.5,2020s,33.3,5.0,7.7,240.48,34.06,50.76,12.31,0.0,6.82,8.5,17.1,11.96,8.0
Korea,Gunsan Plant,SSP2-4.5,2030s,30.8,5.4,4.2,320.72,35.77,59.7,12.14,0.2,7.6,14.9,17.77,12.6,16.4
Korea,Gunsan Plant,SSP2-4.5,2040s,29.0,5.4,2.4,488.79,42.03,72.1,14.23,0.4,8.29,28.6,18.27,13.16,32.6
